"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2017-06",100.860728529511,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2017-07",100.741050117245,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2017-08",100.814572950061,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2017-09",101.095381288454,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2017-10",101.465948814839,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2017-11",101.798733531932,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2017-12",101.612933962686,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-01",101.265296852764,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-02",101.08806477463,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-03",101.305982946153,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-04",101.547673887802,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-05",101.574132911358,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-06",101.430236874916,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-07",101.398294755999,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-08",101.24721560272,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-09",101.075802401775,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-10",101.058222691076,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-11",101.108929010452,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-12",101.357275478355,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-01",101.448111797347,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-02",101.347379812756,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-03",101.315295290671,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-04",101.384446160664,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-05",101.129855518956,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-06",100.806358743958,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-07",100.739809550893,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-08",100.805946534167,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-09",100.900867753564,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-10",100.827157390872,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-11",100.688228391143,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-12",100.421796464339,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-01",100.043029746595,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-02",99.4744403393718,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-03",98.699767335707,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-04",98.1287816644907,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-05",98.6774394388328,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-06",99.6139519095245,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-07",100.505448623484,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-08",101.115901586297,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-09",101.413154345571,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-10",101.710147947333,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-11",102.032793748905,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2020-12",102.078586681873,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-01",102.252704919527,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-02",102.514741736476,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-03",102.716608911727,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-04",102.968617351114,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-05",103.422667834294,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-06",103.848135772345,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-07",104.095938661765,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-08",104.318422372665,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-09",104.379685074985,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-10",104.391978365619,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-11",104.181334802861,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2021-12",104.060157751707,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2022-01",104.100334861185,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2017-06",99.6697749207328,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2017-07",99.772116270753,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2017-08",99.9460590835412,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2017-09",100.08605716921,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2017-10",99.9985260129663,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2017-11",99.8697470077843,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2017-12",99.658653103973,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-01",99.3992941910267,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-02",99.2382446247671,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-03",99.4334325752862,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-04",99.6467577098585,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-05",99.7910215024382,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-06",99.7297589107527,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-07",99.5671905253953,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-08",99.3621124081726,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-09",99.029934912458,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-10",98.6346039887487,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-11",98.2865627387075,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2018-12",98.0170232088636,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-01",97.9523212639849,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-02",98.0623969869136,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-03",98.3123398117799,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-04",98.2917832360689,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-05",98.0939234441053,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-06",97.9887031294258,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-07",98.0127689683996,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-08",98.0746919349083,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-09",98.191431026376,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-10",98.2527239205912,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-11",98.1648774492431,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2019-12",97.3552587620334,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-01",95.6417304930358,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-02",94.0422694479059,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-03",96.3148084962097,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-04",98.1381216846972,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-05",98.9947248875476,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-06",99.3054443578664,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-07",99.3991271481655,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-08",99.4624512050479,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-09",99.619928955579,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-10",99.7837400620684,
